anchor_name,node_idx,s_m,A_anchor_measured_m2,A_lr_raw_m2,A_scaled_m2,A_scale_factor,Rh_anchor_measured_m,Rh_lr_raw_m,Rh_scaled_m,Rh_scale_factor
MFS5,4,15.60576,1.395,1.4024041557485627,1.395,0.9947203837651133,0.305,0.306388419224088,0.305,0.9954684343892498
MFS8,7,27.85872,3.561,3.5476009392557293,3.561,1.003776935730286,0.383,0.38150909900439256,0.383,1.00390790416139
MFS14,13,59.58839999999999,1.151,1.1492125625931253,1.151,1.0015553583950052,0.231,0.23133901352961148,0.231,0.9985345596298738
MFS20,19,76.53528,2.245,2.239322764824318,2.245,1.002535246488296,0.352,0.3510056265003885,0.35200000000000004,1.0028329275217769
