method,anchor_name,node_idx,s_m,HGL_m,EGL_m,V_model_mps,V_anchor_input_mps,Re_model,Sf_model,f_model
manning,MFS5,4,15.60576,-0.003292649417067757,-0.0010264275176268367,0.21086316337148805,0.21086316337148805,257551.81336950161,0.00046437398143231424,
manning,MFS8,7,27.85872,-0.01212016638146684,-0.011766022869606787,0.0833564376799671,0.0833564376799671,231526.46179927824,0.0003435531806979819,
manning,MFS14,13,59.58839999999999,-0.14320138716776395,-0.1398265868415662,0.25731999999999994,0.25731999999999994,259903.03296342577,0.0011087869021351238,
manning,MFS20,19,76.53528,-0.14980483189810084,-0.148916008616655,0.1320557184750733,0.1320557184750733,191099.2360957443,0.0002431297675712802,
