method,anchor_name,node_idx,s_m,HGL_m,EGL_m,V_model_mps,V_anchor_input_mps,Re_model,Sf_model,f_model
hazen,MFS5,4,15.60576,-0.0013238533311876433,0.000942368568253277,0.21086316337148805,0.21086316337148805,257551.81336950161,9.993704989749354e-05,
hazen,MFS8,7,27.85872,-0.006051220487856675,-0.005697076975996622,0.0833564376799671,0.0833564376799671,231526.46179927824,8.784217717013311e-05,
hazen,MFS14,13,59.58839999999999,-0.07876309387105361,-0.07538829354485585,0.25731999999999994,0.25731999999999994,259903.03296342577,0.0003470749329779104,
hazen,MFS20,19,76.53528,-0.08162452655907348,-0.08073570327762762,0.1320557184750733,0.1320557184750733,191099.2360957443,9.286451847156296e-05,
