s_m,HGL_p05_m,HGL_p50_m,HGL_p95_m,V_p05_mps,V_p50_mps,V_p95_mps
0.0,0.0,0.0,0.0,0.04967178607857583,0.055295254749296974,0.062111963373545666
3.93192,-6.941897076384028e-05,-4.461610362507015e-05,-7.8147361332655e-06,0.049209787058306184,0.05544958013122417,0.061962033410345535
8.10768,-0.00016278858087229983,-0.00011321459945984299,-7.716439489808248e-05,0.057216842564665166,0.0637804098019964,0.07190954972347681
11.46048,-0.0011778651352412932,-0.0009389893772976275,-0.0007658091122426149,0.19583144455728327,0.21920696234614162,0.24703146956652178
15.60576,-0.0022995982885518516,-0.0014947065573847756,-0.0011715875746809176,0.18866995827065275,0.21175429801099438,0.23891474654882755
21.42744,-0.0034072294381646854,-0.0025297440619971106,-0.001943229865700841,0.16656205329942916,0.18573940152061374,0.20808307741835635
24.93264,-0.0062587978239687396,-0.0049839587856532665,-0.004061898182331398,0.2615927329028412,0.29284953929794777,0.3290043785745488
27.85872,-0.007899132483685276,-0.006353552723458084,-0.005257195461104605,0.07434292789460983,0.08344377415130239,0.09399872915918543
35.17392,-0.015234691788563364,-0.012532473352914712,-0.010440432730284152,0.49847851530952353,0.5580137762604112,0.627588893260972
41.39184,-0.08266245781793963,-0.0628969955551889,-0.050104790648590254,0.6378343887575709,0.7158337278171278,0.8047580520506713
48.43272,-0.09548703616906755,-0.07437300704527455,-0.06012176223134807,0.05188044907385788,0.05820557650209403,0.06588176682880387
52.09032,-0.0961599367782001,-0.07492174814352198,-0.06068077736262532,0.16917303728988853,0.18876641330089966,0.213997732728006
54.955439999999996,-0.09822916357211416,-0.07684983544026504,-0.062331734205127685,0.2703733804360709,0.30281769336110415,0.34138540405418916
59.58839999999999,-0.10026704308328611,-0.07854147037401932,-0.06391655343050294,0.22965669574677106,0.25817361493247504,0.2900135441196919
64.008,-0.10102699012120478,-0.07923366342914134,-0.06448379550637974,0.14661654098802188,0.1647528039666349,0.18597269013087725
67.75703999999999,-0.10125080209245567,-0.07937931934697645,-0.06461202184564489,0.11859511240419641,0.1317874367329237,0.14886962376083102
70.92696,-0.102018602788244,-0.08002328706395981,-0.06525108431247964,0.1601671955203692,0.17871855104481932,0.2010710315470923
73.7616,-0.10306112221918201,-0.08090228240572139,-0.0660450021685002,0.17304459101451844,0.19197159766065677,0.2152190484900117
75.2856,-0.10342615624609701,-0.08143567850744038,-0.06644132281004514,0.1625779828857125,0.18219557471507278,0.20446131351633387
76.53528,-0.1036279397173714,-0.08163188142094155,-0.06659608262771155,0.11840880371363957,0.13198665527677245,0.14837625612370167
81.04632,-0.10458326941449436,-0.0825378980022852,-0.06750740659902042,0.16956533396279858,0.18854585032129106,0.21155315180772152
83.05799999999999,-0.1048011099842471,-0.08275685506633589,-0.06774546674339467,0.10865998450491694,0.1222105141048998,0.13724021973099032
88.02624,-0.10522008660790182,-0.08315798441330705,-0.06806153443229128,0.1147537144591227,0.1282977926963402,0.14482947013772363
96.4692,-0.10723929872360011,-0.08474994286284498,-0.06958231880868537,0.22335837183109464,0.24900826082641267,0.28133143714478853
104.66832,-0.10864561045607367,-0.08585757611844438,-0.0706536397952148,0.09615062436137677,0.10788910017984882,0.12069107175051424
111.67871999999998,-0.10949485585142507,-0.08658117124550799,-0.07127454003140321,0.1581161911175832,0.1765936764375717,0.19847412423021907
115.85448,-0.11077271641875834,-0.08790435530677237,-0.07242074628980999,0.21074892450456928,0.23309412579160776,0.2622454800612333
121.55424,-0.111638179154043,-0.08868538057810868,-0.07301287385158585,0.13835370250873788,0.1547492018511357,0.1733205289261842
127.01015999999998,-0.11193391892577383,-0.08894260277416877,-0.07324456580931332,0.06962882641293901,0.07814772122416541,0.08836461790913941
