darcy,manning,hazen
0.04353156439780376,0.1638577448730148,0.09320848999163853
0.0439077241036852,0.17264861822534913,0.10442493081375645
0.05431346149386498,0.19304315106908132,0.09585257501275013
0.04012277277112759,0.14638882884684348,0.08099199632216939
0.04634635774480568,0.1568014522434198,0.07530068056802042
0.049631597093898555,0.18757041016318354,0.10806602521073673
0.04490370553250227,0.16306564359194983,0.08909675720620194
0.04466407337465379,0.16667010297959606,0.0860886248999563
0.04022242956051732,0.15296026451048547,0.08720194750724183
0.057057309344625246,0.21412370253016344,0.10278610798561477
0.05094138256454446,0.18373384452417427,0.09129455521335364
0.04527214719625407,0.1641762155665887,0.08279559673930853
0.04441424788964882,0.16454944947407885,0.07768611084674035
0.04663594753958164,0.1685843711700798,0.08110085414672974
0.04232169198068149,0.1592202543843618,0.08530717852950172
0.05164529715434042,0.19328758739539004,0.10275115920385082
0.04764848410277434,0.1741219649672135,0.09885081127808248
0.05233299430507606,0.19121202179403501,0.10479311042622556
0.04950482784497414,0.17667325922836127,0.08344788512936957
0.05168429970748605,0.20904049851087098,0.12724975797110838
0.04861613772374569,0.18945463194163037,0.12411822828039712
0.0436475680368122,0.16434686119229608,0.08235863424135396
0.04172984484954185,0.1525831631007274,0.0738669899895759
0.04281536394109225,0.16019319168767854,0.0865250803580826
0.04549281871265828,0.16718583590333858,0.08546635029721068
0.03808471634264777,0.14416248916343133,0.08126486008075393
0.04517437669220311,0.16721130521186497,0.08996922506676155
0.0458078443378977,0.17711926847283038,0.1108883287888232
0.04344666175913446,0.15669684481375307,0.0836539998228817
0.056750089753475036,0.21760895300524896,0.1129079819594979
0.04005809897930944,0.15144118389858036,0.08136260337183682
0.04265211757227709,0.1609210108699891,0.0863792949905973
0.0424604384399925,0.16802092140743446,0.09505168488086137
0.048546446357018734,0.18961639685226359,0.1052674058965842
0.04287019112802521,0.1596045364484448,0.09816722402752744
0.04626302627611127,0.17306764617963044,0.09205129377266516
0.03608974543564524,0.13510601897994134,0.07311443727776362
0.04488786581547882,0.1690693903658287,0.08906346381917228
0.0454966635766257,0.17092103917000692,0.09477221837866404
0.050489011157562345,0.18089883600689735,0.09231131439695035
0.046507616328958105,0.17852814310097523,0.09874828417854052
0.046622925567732676,0.17330281576648432,0.08980623844911202
0.039304822042591094,0.1471547567301257,0.08384277294100767
0.041132366336310296,0.15482966662290687,0.07962734982484712
0.04656448383367748,0.16543774598458832,0.086432543420328
0.04234229219095832,0.16044049196350615,0.08414404129153898
0.0453972290556415,0.17656206246043876,0.0986531313560717
0.049830491200050876,0.18826996195358073,0.10515840174754011
0.038612847682427974,0.1495637175631931,0.08513350634526823
0.050851516217644846,0.19295062035215904,0.11162186276976846
0.03919013281321176,0.1451965998736216,0.07408043292200595
0.045106674856205196,0.16356624649568938,0.08692073193585574
0.049998538771675365,0.1795632488633296,0.09001351623897207
0.03781460457155729,0.14382081839766014,0.07958788489726813
0.04453496914696368,0.17476632597953182,0.10347934541872518
0.048633863932311984,0.1796863714309179,0.09468640881189938
0.046202547526576904,0.16648087564416278,0.08256365034052544
0.04944493790287192,0.18366599936728256,0.0881329897268168
0.03973218449464729,0.15460933154090004,0.07826585473581828
0.04353038898450842,0.16055009297430498,0.08206263660832276
0.035896098380009206,0.1358003979558725,0.0701502993173988
0.050613989328164216,0.18481934986243598,0.09958770594641883
0.05212256810189351,0.19567085339798174,0.10956442715452944
0.03924418482614347,0.14613554703867046,0.08393178475894039
0.05425447202577577,0.19297640622062517,0.10046219904219844
0.03856636040166963,0.14697285328542414,0.08844869203950897
0.04728723171995728,0.1744099483928206,0.08585408822352192
0.043782216894577584,0.1639417741332983,0.09279322072979047
0.043544743647313595,0.15939970952773116,0.08354793768990806
0.03852252054885895,0.1426152318979395,0.07182182539838937
0.04211800564087796,0.16191340772187524,0.09072811657640094
0.05544773715008827,0.19679272703234613,0.09017642465595509
0.045248263258978315,0.1705281254949112,0.08441268799312877
0.0478174630785989,0.1797658449916364,0.09916082087582102
0.04613545106993725,0.16088648507644873,0.07894330519595022
0.04228515032673246,0.15607207449538604,0.08421364473068628
0.039684834079336685,0.14818913300473727,0.07577470388021079
0.04813821838075563,0.17640693479385994,0.09107439963287944
0.0354531015564712,0.13143658145235554,0.07338565617104433
0.053956194941981304,0.1921123547054322,0.09160511626191857
0.045354831756381886,0.16638222280768825,0.08809256110701051
0.03815764202536227,0.13991627106042828,0.07235752797474912
0.04621285829375408,0.1708683377795525,0.09376154828539496
0.05128074314725487,0.19342617145157737,0.11156569882598844
0.04729705637015653,0.17841059734033612,0.09605744469848962
0.04578016244014877,0.17028858767576963,0.08530774962382633
0.04568129559357606,0.16880123461898375,0.09094921758796509
0.05139289433495443,0.19432622999348803,0.09243861812567586
0.04607306181901619,0.16862891821090123,0.08720271885948014
0.04704768819150816,0.16809108271836776,0.0819251945208087
0.04531299217208572,0.1690383281904334,0.08032234005840748
0.046632368871148196,0.17853663683966073,0.10173106311950876
0.05589549094325569,0.2029005540410524,0.10132048815158036
0.05602572129248386,0.20772708117356328,0.11615611559508268
