anchor_site,V_anchor_mps,De_anchor_m,Re_anchor,ff_blumberg_curl,ff_reach_mean
1,0.21086316337148805,1.2255535670543338,258424.10203028793,0.019619825179781353,0.022202127687837258
2,0.0833564376799671,1.5260153810013366,127203.20600510918,0.026448320199892367,0.022202127687837258
3,0.25731999999999994,0.9253500301782603,238111.0697654699,0.020272844758283337,0.022202127687837258
4,0.1320557184750733,1.4040201887237012,185408.89477541638,0.022467520613391984,0.022202127687837258
