node,s_m,A_m2,Rh_m,De_m
0,0.0,5.362991958767916,0.6446281310050883,2.5785125240203532
1,3.93192,5.362991958767916,0.6446281310050883,2.5785125240203532
2,8.10768,4.631873871327719,0.4943658724842413,1.9774634899369652
3,11.46048,1.3542466769351365,0.29365120810896833,1.1746048324358733
4,15.60576,1.4024041557485627,0.30638839176358346,1.2255535670543338
5,21.42744,1.593574753462467,0.23909612386987786,0.9563844954795114
6,24.93264,1.01130705508195,0.23464224635265188,0.9385689854106075
7,27.85872,3.5476009392557293,0.38150384525033415,1.5260153810013366
8,35.17392,0.5311915844874889,0.14621301257928662,0.5848520503171465
9,41.39184,0.413716522533525,0.10468320819335161,0.41873283277340645
10,48.43272,5.089369920055267,0.6309201635081545,2.523680654032618
11,52.09032,1.5658477202062515,0.30288976238218357,1.2115590495287343
12,54.955439999999996,0.9792020692063325,0.23334239708899487,0.9333695883559795
13,59.58839999999999,1.1492125625931253,0.23133750754456509,0.9253500301782603
14,64.008,1.7978792090345777,0.3741653879186487,1.4966615516745947
15,67.75703999999999,2.2407820823641185,0.376069828589627,1.504279314358508
16,70.92696,1.6599737015234026,0.2760528891047093,1.1042115564188373
17,73.7616,1.5366613694102356,0.2883943609092671,1.1535774436370685
18,75.2856,1.6278687156477851,0.25814662294232094,1.0325864917692837
19,76.53528,2.239322764824318,0.3510050471809253,1.4040201887237012
20,81.04632,1.568766355285853,0.2740723394961439,1.0962893579845756
21,83.05799999999999,2.4188188222198153,0.39375653235130664,1.5750261294052266
22,88.02624,2.3071810304250544,0.35975208524183816,1.4390083409673526
23,96.4692,1.1908031124774474,0.25551134194586966,1.0220453677834787
24,104.66832,2.753732197604098,0.3920397766959841,1.5681591067839364
25,111.67871999999998,1.681133805850514,0.34434666549637105,1.3773866619854842
26,115.85448,1.2681469420868898,0.24251885297181883,0.9700754118872753
27,121.55424,1.9153542709885418,0.3519476767704842,1.4077907070819369
28,127.01015999999998,3.7825510631636576,0.5165199982445565,2.066079992978226
