s_m,HGL_p05_m,HGL_p50_m,HGL_p95_m,V_p05_mps,V_p50_mps,V_p95_mps
0.0,0.0,0.0,0.0,0.04967178607857583,0.055295254749296974,0.062111963373545666
3.93192,-0.00011010591686301444,-6.888696151106476e-05,-3.77506436871271e-05,0.049209787058306184,0.05544958013122417,0.061962033410345535
8.10768,-0.0002589299994553,-0.00019235128338739905,-0.0001442176926575002,0.057216842564665166,0.0637804098019964,0.07190954972347681
11.46048,-0.0017519678675257217,-0.0013985546569359201,-0.0011425031764223574,0.19583144455728327,0.21920696234614162,0.24703146956652178
15.60576,-0.004560626182767564,-0.0035342535454500183,-0.0028664737667945927,0.18866995827065275,0.21175429801099438,0.23891474654882755
21.42744,-0.007771779739632111,-0.006232316496974959,-0.005121735747380399,0.16656205329942916,0.18573940152061374,0.20808307741835635
24.93264,-0.012549613118277578,-0.010343888459424362,-0.008566753196366083,0.2615927329028412,0.29284953929794777,0.3290043785745488
27.85872,-0.015203131600527126,-0.012473633295797516,-0.010350696873609577,0.07434292789460983,0.08344377415130239,0.09399872915918543
35.17392,-0.031895265470877614,-0.026302553773512864,-0.021876891450355106,0.49847851530952353,0.5580137762604112,0.627588893260972
41.39184,-0.14102037692822747,-0.11492998220278167,-0.09516042720263644,0.6378343887575709,0.7158337278171278,0.8047580520506713
48.43272,-0.1641655902900007,-0.13425132837447973,-0.1109974190230979,0.05188044907385788,0.05820557650209403,0.06588176682880387
52.09032,-0.16516193755303477,-0.13505423131885597,-0.1117276846832834,0.16917303728988853,0.18876641330089966,0.213997732728006
54.955439999999996,-0.1686754475116215,-0.13853274724796727,-0.11466798792390792,0.2703733804360709,0.30281769336110415,0.34138540405418916
59.58839999999999,-0.17461240372341572,-0.1438368215998055,-0.11895800772376337,0.22965669574677106,0.25817361493247504,0.2900135441196919
64.008,-0.1766506169849332,-0.14594103258927515,-0.12085272971713575,0.14661654098802188,0.1647528039666349,0.18597269013087725
67.75703999999999,-0.17738257687315911,-0.1465329107685052,-0.12134556394760417,0.11859511240419641,0.1317874367329237,0.14886962376083102
70.92696,-0.17866507240949386,-0.14768135574374233,-0.12235064422712925,0.1601671955203692,0.17871855104481932,0.2010710315470923
73.7616,-0.18048982608832068,-0.14914242148836232,-0.12377904585392827,0.17304459101451844,0.19197159766065677,0.2152190484900117
75.2856,-0.18149972913538467,-0.1498393884609585,-0.12462591807412453,0.1625779828857125,0.18219557471507278,0.20446131351633387
76.53528,-0.18205796033591223,-0.15017949503756334,-0.12498353546111661,0.11840880371363957,0.13198665527677245,0.14837625612370167
81.04632,-0.1838839550678867,-0.15183118665452056,-0.1263126309098646,0.16956533396279858,0.18854585032129106,0.21155315180772152
83.05799999999999,-0.18443904173703493,-0.15243564272875443,-0.12676743564983758,0.10865998450491694,0.1222105141048998,0.13724021973099032
88.02624,-0.18542860007617823,-0.15315559048353297,-0.12746411935732987,0.1147537144591227,0.1282977926963402,0.14482947013772363
96.4692,-0.1897938913316601,-0.15710599182266632,-0.13088723649388212,0.22335837183109464,0.24900826082641267,0.28133143714478853
104.66832,-0.19292903497739755,-0.16008596530789193,-0.13351323533281986,0.09615062436137677,0.10788910017984882,0.12069107175051424
111.67871999999998,-0.19469480199255407,-0.16162874887549394,-0.1348102869081102,0.1581161911175832,0.1765936764375717,0.19847412423021907
115.85448,-0.19776761402089424,-0.16420127585004446,-0.13713232252609553,0.21074892450456928,0.23309412579160776,0.2622454800612333
121.55424,-0.20068091101832752,-0.1666055525750122,-0.13922071841336275,0.13835370250873788,0.1547492018511357,0.1733205289261842
127.01015999999998,-0.20140990631438138,-0.1671985705576018,-0.13975430782487255,0.06962882641293901,0.07814772122416541,0.08836461790913941
