method,anchor_name,node_idx,s_m,HGL_m,EGL_m,V_model_mps,V_anchor_input_mps,Re_model,Sf_model,f_model,ff_blumberg_curl
darcy,MFS5,4,15.60576,-0.0010333856860639304,0.0012328362133769899,0.21086316337148805,0.21086316337148805,257551.81336950161,4.3430526238667974e-05,0.022202127687837258,0.019619825179781353
darcy,MFS8,7,27.85872,-0.004042023209248124,-0.0036878796973880707,0.0833564376799671,0.0833564376799671,231526.46179927824,3.241572817615037e-05,0.022202127687837258,0.026448320199892367
darcy,MFS14,13,59.58839999999999,-0.03750927745595155,-0.034134477129753794,0.25731999999999994,0.25731999999999994,259903.03296342577,9.522843047017124e-05,0.022202127687837258,0.020272844758283337
darcy,MFS20,19,76.53528,-0.03936629095713301,-0.038477467675687146,0.1320557184750733,0.1320557184750733,191099.2360957443,2.285320893609063e-05,0.022202127687837258,0.022467520613391984
